Navn;Stasjon;Tid(norsk normaltid);Nedbør (1 t)
Fjærland - Bremuseet;SN55820;02.07.2016 11:00;0
Fjærland - Bremuseet;SN55820;02.07.2016 12:00;0
Fjærland - Bremuseet;SN55820;02.07.2016 13:00;0
Fjærland - Bremuseet;SN55820;02.07.2016 14:00;0
Fjærland - Bremuseet;SN55820;02.07.2016 15:00;0,1
Fjærland - Bremuseet;SN55820;02.07.2016 16:00;0,1
Fjærland - Bremuseet;SN55820;02.07.2016 17:00;3,8
Fjærland - Bremuseet;SN55820;02.07.2016 18:00;3,9
Fjærland - Bremuseet;SN55820;02.07.2016 19:00;1,5
Fjærland - Bremuseet;SN55820;02.07.2016 20:00;0
Fjærland - Bremuseet;SN55820;02.07.2016 21:00;0,1
Fjærland - Bremuseet;SN55820;02.07.2016 22:00;0
Fjærland - Bremuseet;SN55820;02.07.2016 23:00;0,1
Fjærland - Bremuseet;SN55820;03.07.2016 00:00;0,1
Fjærland - Bremuseet;SN55820;03.07.2016 01:00;0,1
Fjærland - Bremuseet;SN55820;03.07.2016 02:00;0,3
Fjærland - Bremuseet;SN55820;03.07.2016 03:00;0
Fjærland - Bremuseet;SN55820;03.07.2016 04:00;0,4
Fjærland - Bremuseet;SN55820;03.07.2016 05:00;0,1
Fjærland - Bremuseet;SN55820;03.07.2016 06:00;0,1
Fjærland - Bremuseet;SN55820;03.07.2016 07:00;0,1
Fjærland - Bremuseet;SN55820;03.07.2016 08:00;1,1
Fjærland - Bremuseet;SN55820;03.07.2016 09:00;0,4
Fjærland - Bremuseet;SN55820;03.07.2016 10:00;0
Fjærland - Bremuseet;SN55820;03.07.2016 11:00;0
Fjærland - Bremuseet;SN55820;03.07.2016 12:00;0
Fjærland - Bremuseet;SN55820;03.07.2016 13:00;0,1
Fjærland - Bremuseet;SN55820;03.07.2016 14:00;0,3
Fjærland - Bremuseet;SN55820;03.07.2016 15:00;1,8
Fjærland - Bremuseet;SN55820;03.07.2016 16:00;0,1
Fjærland - Bremuseet;SN55820;03.07.2016 17:00;0,5
Fjærland - Bremuseet;SN55820;03.07.2016 18:00;0,4
Fjærland - Bremuseet;SN55820;03.07.2016 19:00;0,5
Fjærland - Bremuseet;SN55820;03.07.2016 20:00;0
Fjærland - Bremuseet;SN55820;03.07.2016 21:00;0
Fjærland - Bremuseet;SN55820;03.07.2016 22:00;0
Fjærland - Bremuseet;SN55820;03.07.2016 23:00;1
Fjærland - Bremuseet;SN55820;04.07.2016 00:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 01:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 02:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 03:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 04:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 05:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 06:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 07:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 08:00;0,1
Fjærland - Bremuseet;SN55820;04.07.2016 09:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 10:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 11:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 12:00;0,2
Fjærland - Bremuseet;SN55820;04.07.2016 13:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 14:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 15:00;0,1
Fjærland - Bremuseet;SN55820;04.07.2016 16:00;0,1
Fjærland - Bremuseet;SN55820;04.07.2016 17:00;0,3
Fjærland - Bremuseet;SN55820;04.07.2016 18:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 19:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 20:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 21:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 22:00;0
Fjærland - Bremuseet;SN55820;04.07.2016 23:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 00:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 01:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 02:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 03:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 04:00;0,1
Fjærland - Bremuseet;SN55820;05.07.2016 05:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 06:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 07:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 08:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 09:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 10:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 11:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 12:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 13:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 14:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 15:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 16:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 17:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 18:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 19:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 20:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 21:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 22:00;0
Fjærland - Bremuseet;SN55820;05.07.2016 23:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 00:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 01:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 02:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 03:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 04:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 05:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 06:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 07:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 08:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 09:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 10:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 11:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 12:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 13:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 14:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 15:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 16:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 17:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 18:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 19:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 20:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 21:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 22:00;0
Fjærland - Bremuseet;SN55820;06.07.2016 23:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 00:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 01:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 02:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 03:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 04:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 05:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 06:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 07:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 08:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 09:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 10:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 11:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 12:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 13:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 14:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 15:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 16:00;0,4
Fjærland - Bremuseet;SN55820;07.07.2016 17:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 18:00;0,3
Fjærland - Bremuseet;SN55820;07.07.2016 19:00;0,3
Fjærland - Bremuseet;SN55820;07.07.2016 20:00;0,1
Fjærland - Bremuseet;SN55820;07.07.2016 21:00;0,1
Fjærland - Bremuseet;SN55820;07.07.2016 22:00;0
Fjærland - Bremuseet;SN55820;07.07.2016 23:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 00:00;0,2
Fjærland - Bremuseet;SN55820;08.07.2016 01:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 02:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 03:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 04:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 05:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 06:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 07:00;0,1
Fjærland - Bremuseet;SN55820;08.07.2016 08:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 09:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 10:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 11:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 12:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 13:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 14:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 15:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 16:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 17:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 18:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 19:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 20:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 21:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 22:00;0
Fjærland - Bremuseet;SN55820;08.07.2016 23:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 00:00;0,1
Fjærland - Bremuseet;SN55820;09.07.2016 01:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 02:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 03:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 04:00;0,1
Fjærland - Bremuseet;SN55820;09.07.2016 05:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 06:00;0,2
Fjærland - Bremuseet;SN55820;09.07.2016 07:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 08:00;0,1
Fjærland - Bremuseet;SN55820;09.07.2016 09:00;0,4
Fjærland - Bremuseet;SN55820;09.07.2016 10:00;0,2
Fjærland - Bremuseet;SN55820;09.07.2016 11:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 12:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 13:00;0,7
Fjærland - Bremuseet;SN55820;09.07.2016 14:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 15:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 16:00;0,1
Fjærland - Bremuseet;SN55820;09.07.2016 17:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 18:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 19:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 20:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 21:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 22:00;0
Fjærland - Bremuseet;SN55820;09.07.2016 23:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 00:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 01:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 02:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 03:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 04:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 05:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 06:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 07:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 08:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 09:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 10:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 11:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 12:00;0,3
Fjærland - Bremuseet;SN55820;10.07.2016 13:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 14:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 15:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 16:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 17:00;0,1
Fjærland - Bremuseet;SN55820;10.07.2016 18:00;0,1
Fjærland - Bremuseet;SN55820;10.07.2016 19:00;0,4
Fjærland - Bremuseet;SN55820;10.07.2016 20:00;0,5
Fjærland - Bremuseet;SN55820;10.07.2016 21:00;0,2
Fjærland - Bremuseet;SN55820;10.07.2016 22:00;0
Fjærland - Bremuseet;SN55820;10.07.2016 23:00;0,1
Fjærland - Bremuseet;SN55820;11.07.2016 00:00;0,2
Fjærland - Bremuseet;SN55820;11.07.2016 01:00;0,2
Fjærland - Bremuseet;SN55820;11.07.2016 02:00;0,1
Fjærland - Bremuseet;SN55820;11.07.2016 03:00;0,9
Fjærland - Bremuseet;SN55820;11.07.2016 04:00;0,8
Fjærland - Bremuseet;SN55820;11.07.2016 05:00;0,1
Fjærland - Bremuseet;SN55820;11.07.2016 06:00;0
Fjærland - Bremuseet;SN55820;11.07.2016 07:00;0
Fjærland - Bremuseet;SN55820;11.07.2016 08:00;0,1
Fjærland - Bremuseet;SN55820;11.07.2016 09:00;0
Fjærland - Bremuseet;SN55820;11.07.2016 10:00;0
Fjærland - Bremuseet;SN55820;11.07.2016 11:00;0
Fjærland - Bremuseet;SN55820;11.07.2016 12:00;0
Fjærland - Bremuseet;SN55820;11.07.2016 13:00;0,1
Fjærland - Bremuseet;SN55820;11.07.2016 14:00;0
Fjærland - Bremuseet;SN55820;11.07.2016 15:00;0
Fjærland - Bremuseet;SN55820;11.07.2016 16:00;0
Fjærland - Bremuseet;SN55820;11.07.2016 17:00;0
Fjærland - Bremuseet;SN55820;11.07.2016 18:00;0
Fjærland - Bremuseet;SN55820;11.07.2016 19:00;0
Fjærland - Bremuseet;SN55820;11.07.2016 20:00;0
Fjærland - Bremuseet;SN55820;11.07.2016 21:00;0
Fjærland - Bremuseet;SN55820;11.07.2016 22:00;0
Fjærland - Bremuseet;SN55820;11.07.2016 23:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 00:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 01:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 02:00;0,1
Fjærland - Bremuseet;SN55820;12.07.2016 03:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 04:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 05:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 06:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 07:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 08:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 09:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 10:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 11:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 12:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 13:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 14:00;0,2
Fjærland - Bremuseet;SN55820;12.07.2016 15:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 16:00;0,7
Fjærland - Bremuseet;SN55820;12.07.2016 17:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 18:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 19:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 20:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 21:00;0,2
Fjærland - Bremuseet;SN55820;12.07.2016 22:00;0
Fjærland - Bremuseet;SN55820;12.07.2016 23:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 00:00;0,5
Fjærland - Bremuseet;SN55820;13.07.2016 01:00;0,1
Fjærland - Bremuseet;SN55820;13.07.2016 02:00;1,3
Fjærland - Bremuseet;SN55820;13.07.2016 03:00;0,1
Fjærland - Bremuseet;SN55820;13.07.2016 04:00;0,2
Fjærland - Bremuseet;SN55820;13.07.2016 05:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 06:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 07:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 08:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 09:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 10:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 11:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 12:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 13:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 14:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 15:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 16:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 17:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 18:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 19:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 20:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 21:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 22:00;0
Fjærland - Bremuseet;SN55820;13.07.2016 23:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 00:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 01:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 02:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 03:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 04:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 05:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 06:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 07:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 08:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 09:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 10:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 11:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 12:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 13:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 14:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 15:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 16:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 17:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 18:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 19:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 20:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 21:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 22:00;0
Fjærland - Bremuseet;SN55820;14.07.2016 23:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 00:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 01:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 02:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 03:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 04:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 05:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 06:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 07:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 08:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 09:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 10:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 11:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 12:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 13:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 14:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 15:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 16:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 17:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 18:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 19:00;0,1
Fjærland - Bremuseet;SN55820;15.07.2016 20:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 21:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 22:00;0
Fjærland - Bremuseet;SN55820;15.07.2016 23:00;0
Fjærland - Bremuseet;SN55820;16.07.2016 00:00;0
Fjærland - Bremuseet;SN55820;16.07.2016 01:00;0
Fjærland - Bremuseet;SN55820;16.07.2016 02:00;0
Fjærland - Bremuseet;SN55820;16.07.2016 03:00;0,9
Fjærland - Bremuseet;SN55820;16.07.2016 04:00;1,8
Fjærland - Bremuseet;SN55820;16.07.2016 05:00;1,6
Fjærland - Bremuseet;SN55820;16.07.2016 06:00;1
Fjærland - Bremuseet;SN55820;16.07.2016 07:00;0,9
Fjærland - Bremuseet;SN55820;16.07.2016 08:00;1,3
Fjærland - Bremuseet;SN55820;16.07.2016 09:00;1,2
Fjærland - Bremuseet;SN55820;16.07.2016 10:00;1,5
Fjærland - Bremuseet;SN55820;16.07.2016 11:00;0,8
Fjærland - Bremuseet;SN55820;16.07.2016 12:00;0,3
Fjærland - Bremuseet;SN55820;16.07.2016 13:00;0,1
Fjærland - Bremuseet;SN55820;16.07.2016 14:00;0,1
Fjærland - Bremuseet;SN55820;16.07.2016 15:00;0,1
Fjærland - Bremuseet;SN55820;16.07.2016 16:00;0,3
Fjærland - Bremuseet;SN55820;16.07.2016 17:00;0,3
Fjærland - Bremuseet;SN55820;16.07.2016 18:00;1
Fjærland - Bremuseet;SN55820;16.07.2016 19:00;0,6
Fjærland - Bremuseet;SN55820;16.07.2016 20:00;0,3
Fjærland - Bremuseet;SN55820;16.07.2016 21:00;0,6
Fjærland - Bremuseet;SN55820;16.07.2016 22:00;0,3
Fjærland - Bremuseet;SN55820;16.07.2016 23:00;0,1
Fjærland - Bremuseet;SN55820;17.07.2016 00:00;0,5
Fjærland - Bremuseet;SN55820;17.07.2016 01:00;0,2
Fjærland - Bremuseet;SN55820;17.07.2016 02:00;0,6
Fjærland - Bremuseet;SN55820;17.07.2016 03:00;0,7
Fjærland - Bremuseet;SN55820;17.07.2016 04:00;0,6
Fjærland - Bremuseet;SN55820;17.07.2016 05:00;0,2
Fjærland - Bremuseet;SN55820;17.07.2016 06:00;0,3
Fjærland - Bremuseet;SN55820;17.07.2016 07:00;0,4
Fjærland - Bremuseet;SN55820;17.07.2016 08:00;1,3
Fjærland - Bremuseet;SN55820;17.07.2016 09:00;0,5
Fjærland - Bremuseet;SN55820;17.07.2016 10:00;0,1
Fjærland - Bremuseet;SN55820;17.07.2016 11:00;0,2
Fjærland - Bremuseet;SN55820;17.07.2016 12:00;1,2
Fjærland - Bremuseet;SN55820;17.07.2016 13:00;0,4
Fjærland - Bremuseet;SN55820;17.07.2016 14:00;0,3
Fjærland - Bremuseet;SN55820;17.07.2016 15:00;0,2
Fjærland - Bremuseet;SN55820;17.07.2016 16:00;0,4
Fjærland - Bremuseet;SN55820;17.07.2016 17:00;0,5
Fjærland - Bremuseet;SN55820;17.07.2016 18:00;0,5
Fjærland - Bremuseet;SN55820;17.07.2016 19:00;0,3
Fjærland - Bremuseet;SN55820;17.07.2016 20:00;0
Fjærland - Bremuseet;SN55820;17.07.2016 21:00;0
Fjærland - Bremuseet;SN55820;17.07.2016 22:00;0
Fjærland - Bremuseet;SN55820;17.07.2016 23:00;0
Fjærland - Bremuseet;SN55820;18.07.2016 00:00;0
Fjærland - Bremuseet;SN55820;18.07.2016 01:00;0,3
Fjærland - Bremuseet;SN55820;18.07.2016 02:00;0
Fjærland - Bremuseet;SN55820;18.07.2016 03:00;0,2
Fjærland - Bremuseet;SN55820;18.07.2016 04:00;0
Fjærland - Bremuseet;SN55820;18.07.2016 05:00;0,1
Fjærland - Bremuseet;SN55820;18.07.2016 06:00;0
Fjærland - Bremuseet;SN55820;18.07.2016 07:00;0
Fjærland - Bremuseet;SN55820;18.07.2016 08:00;0
Fjærland - Bremuseet;SN55820;18.07.2016 09:00;0,1
Fjærland - Bremuseet;SN55820;18.07.2016 10:00;0
Fjærland - Bremuseet;SN55820;18.07.2016 11:00;0
Fjærland - Bremuseet;SN55820;18.07.2016 12:00;0
Fjærland - Bremuseet;SN55820;18.07.2016 13:00;0
